HOLE-ID,DIST_M,AZ_UTM,DIP
10280A,542.54,182.31,16.50
10280A,563.88,183.31,14.00
10280A,589.48,182.31,13.00
10280A,627.88,183.31,13.50
10280A,658.36,182.31,12.00
10280A,685.80,180.31,13.00
10280A,716.28,181.31,14.75
10280A,746.76,179.31,17.00
10280A,777.24,179.31,18.00
10280A,807.72,179.31,19.00
10280A,838.20,182.31,20.25
10280A,868.68,180.31,21.00
10280A,899.16,181.31,23.00
10280A,929.64,181.31,25.50
10280A,960.12,183.31,24.75
10280A,975.96,182.31,24.75
10281,0.00,2.31,90.00
10282,0.00,2.31,-90.00
10283,0.00,2.31,90.00
10284,0.00,2.31,0.00
10285,0.00,2.31,0.00
10286,0.00,2.31,0.00
10287,0.00,181.26,-45.00
10287,85.34,181.26,-45.00
10288,0.00,2.31,68.97
10289,0.00,180.19,47.27
10289,60.96,180.19,31.50
10-2895-1,0.00,362.31,-75.00
10-2895-2,0.00,362.31,-86.00
1029,0.00,177.63,78.53
10290,0.00,185.88,37.95
10291,0.00,182.31,56.00
10292,0.00,185.38,29.22
10293,0.00,181.31,-69.70
10293,112.77,181.31,-53.00
10294,0.00,6.58,-48.73
10295,0.00,184.36,-21.17
10296,0.00,180.58,-70.27
10296,91.44,180.58,-67.00
10297,0.00,182.41,32.78
10297,30.48,182.41,28.00
10297,60.96,182.41,24.50
10297,83.82,182.41,21.00
10298,0.00,187.84,38.40
10298,30.48,187.84,32.50
10298,60.96,187.84,29.00
10298,83.82,187.84,27.00
10299,0.00,2.31,90.00
103,0.00,338.31,0.00
1030,0.00,2.31,90.00
10300,0.00,2.31,90.00
10301,0.00,2.31,-50.00
10301,36.57,2.31,-40.00
10301,71.62,2.31,-33.00
10302,0.00,16.09,51.10
10302,42.67,16.09,38.50
10302,82.29,16.09,31.50
10303,0.00,2.31,75.00
10304,0.00,2.31,-90.00
10305,0.00,5.84,79.25
10305,121.92,5.84,62.00
10306,0.00,3.04,-78.40
10306,143.25,3.04,-83.00
10307,0.00,183.04,78.40
10307,120.39,183.04,84.00
10308,0.00,190.84,-79.30
10308,147.82,190.84,-57.50
10309,0.00,11.59,78.40
10309,76.20,11.59,60.00
1031,0.00,240.31,0.00
1031,68.58,240.31,3.00
1031,144.78,240.31,5.50
1031,213.36,240.31,7.50
10310,0.00,3.51,-78.88
10310,76.20,3.51,-81.50
10311,0.00,183.51,78.88
10311,121.92,183.51,81.50
10312,0.00,186.18,-77.63
10312,75.28,186.18,-73.00
10313,0.00,358.84,72.20
10313,75.59,358.84,54.00
10314,0.00,358.96,-73.75
10314,144.78,358.96,-70.00
10315,0.00,178.66,73.75
10315,60.96,178.66,74.00
10316,0.00,178.84,-72.20
10316,147.82,178.84,-39.50
10317,0.00,179.22,1.15
10317,54.86,179.22,-3.50
10318,0.00,2.31,-75.00
10319,0.00,182.31,70.00
1032,0.00,279.31,61.00
10320,0.00,182.31,75.00
10321,0.00,182.31,70.00
10322,0.00,2.31,0.00
10323,0.00,182.31,-86.00
10324,0.00,356.88,66.72
10324,109.72,356.88,47.00
10325,0.00,2.31,90.00
10325,118.87,2.31,72.00
10325,121.00,354.31,71.00
10326,0.00,182.31,-90.00
10326,134.11,182.31,-80.50
10326,166.57,176.81,-80.00
10327,0.00,176.88,-66.72
10327,144.78,176.88,62.00
10328,0.00,2.31,90.00
10328,60.96,2.31,80.00
10328,114.30,2.31,78.50
10329,0.00,9.91,66.16
10329,68.58,9.91,47.00
10329,102.10,9.91,46.00
1033,0.00,2.31,-4.00
1033,76.20,2.31,6.00
1033,151.48,2.31,17.00
10330,0.00,182.31,-90.00
10330,80.77,182.31,-80.00
10330,137.16,182.31,-76.50
10331,0.00,182.31,-67.00
10331,60.96,182.31,-54.50
10331,86.86,182.31,-52.00
10332,0.00,2.31,77.00
10333,0.00,182.31,-90.00
10333,53.34,182.31,-73.50
10333,99.06,182.31,-67.00
10334,0.00,2.31,-80.00
10334,83.82,2.31,-80.00
10335,0.00,182.31,-85.00
10335,60.96,182.31,-70.50
10335,114.30,182.31,-63.50
10336,0.00,182.31,-80.00
10336,83.82,182.31,-69.00
10337,0.00,195.33,0.37
10338,0.00,186.04,1.22
10339,0.00,2.31,-77.00
1034,0.00,2.31,-90.00
10340,0.00,171.58,-66.57
10340,57.91,171.58,-48.50
10341,0.00,2.31,-80.00
10341,57.91,2.31,-79.50
10342,0.00,2.31,-80.00
10342,57.91,2.31,-83.50
10343,0.00,2.31,80.00
10344,0.00,2.31,-90.00
10345,0.00,158.39,2.13
10346,0.00,168.61,3.75
10347,0.00,203.01,-1.15
10348,0.00,23.01,1.15
10349,0.00,185.36,0.82
1035,0.00,2.31,90.00
10350,0.00,5.36,-0.83
10351,0.00,16.19,1.80
10352,0.00,176.16,2.15
10353,0.00,139.04,0.22
10354,0.00,319.04,-0.22
10355,0.00,2.31,85.00
10356,0.00,182.31,-85.00
10357,0.00,2.31,90.00
10358,0.00,2.31,-90.00
10359,0.00,169.11,85.03
1036,0.00,179.51,-73.60
10360,0.00,189.53,-66.50
10360,60.96,189.53,-53.00
10360,118.87,189.53,-47.00
10361,0.00,182.31,-30.00
10361,64.00,182.31,-25.50
10361,118.87,182.31,-24.00
10362,0.00,2.31,-85.00
10362,86.86,2.31,-86.00
10363,0.00,182.31,65.00
10364,0.00,3.61,71.30
10365,0.00,182.31,75.00
10365,76.20,182.31,68.50
10366,0.00,9.53,66.50
10366,60.96,9.53,41.50
10366,114.30,9.53,32.50
10367,0.00,177.21,62.00
10367,61.26,177.21,54.50
10368,0.00,181.68,0.00
10368,73.15,181.68,-1.00
10368,146.30,181.68,-1.00
10369,0.00,9.18,-0.66
1037,0.00,174.93,-79.83
10370,0.00,192.14,0.12
10371,0.00,360.48,-0.37
10372,0.00,180.48,37.00
10373,0.00,2.31,82.00
10373,47.24,2.31,80.50
10374,0.00,2.31,-90.00
10375,0.00,161.74,-75.50
10376,0.00,348.06,47.45
10377,0.00,351.53,85.25
10377,30.48,351.53,79.00
10377,60.96,351.53,69.00
10378,0.00,170.39,-85.93
10378,53.34,170.39,-76.00
10379,0.00,204.91,-0.40
1038,0.00,190.31,-75.00
10380,0.00,29.64,3.48
10381,0.00,347.83,-56.10
10382,0.00,360.98,-52.50
10383,0.00,4.31,-2.25
10384,0.00,2.31,90.00
10385,0.00,182.31,-85.00
10386,0.00,2.31,-60.00
10387,0.00,352.54,-38.82
10388,0.00,348.63,-31.90
1039,0.00,361.31,79.00
10392,0.00,359.81,0.83
10393,0.00,179.81,-0.83
10394,0.00,2.31,90.00
10394,60.96,2.31,77.00
10395,0.00,168.53,15.00
10395,28.95,168.53,8.75
10395,59.43,168.53,3.00
10396,0.00,2.31,90.00
10396,65.53,2.31,86.00
10397,0.00,182.31,-75.00
10397,68.58,182.31,-65.00
10398,0.00,2.31,-90.00
10398,58.52,2.31,-77.00
10399,0.00,2.31,-80.00
104,0.00,167.31,-45.00
104,30.48,167.31,-41.00
104,60.96,167.31,-37.00
104,91.44,167.31,-35.00
104,121.92,167.31,-32.00
104,152.40,167.31,-28.00
1040,0.00,182.31,-77.00
10400,0.00,182.31,-90.00
10400,60.96,175.24,-87.25
10400,121.92,168.17,-88.00
10400,182.88,161.09,-86.50
10400,249.93,153.31,-85.00
10400,304.80,153.31,-82.75
10401,0.00,2.31,-90.00
10401,60.96,2.31,-87.25
10401,121.92,2.31,-83.50
10401,182.88,2.31,-81.50
10401,243.84,2.31,-77.75
10402,0.00,2.31,-88.00
10402,60.96,2.31,-84.00
10402,128.01,2.31,-81.00
10403,0.00,4.68,-1.55
10403,83.82,4.68,4.00
10403,149.35,4.68,12.00
10403,213.36,4.68,16.50
10403,274.32,4.68,22.00
10403,327.66,4.68,24.00
10404,0.00,184.53,0.42
10404,57.91,184.53,-2.00
10404,128.01,184.53,-3.50
10405,0.00,2.31,85.00
10405,54.86,2.31,69.50
10406,0.00,182.31,-85.00
10406,50.29,182.31,-73.00
10406,56.38,182.31,-85.00
10407,0.00,2.31,90.00
10407,76.20,2.31,76.50
10408,0.00,2.31,-90.00
10409,0.00,191.09,1.57
1041,0.00,2.31,-1.00
1041,30.48,2.31,-2.00
1041,91.44,2.31,3.00
1041,205.74,2.31,15.00
10410,0.00,2.31,82.00
10410,53.34,2.31,66.50
10411,0.00,2.61,-0.73
10411,121.92,2.61,7.00
10411,237.74,2.61,11.00
10412,0.00,184.04,0.18
10412,121.92,184.04,-3.50
10412,243.84,184.04,-5.00
