HOLE-ID,FROM_M,TO_M,CODE_IE
10302,32.30,32.91,CIS
10302,49.68,49.98,CIS
10307,78.63,80.01,CIS
10314,85.64,87.47,CIS
10314,98.60,101.65,CIS
10316,37.18,37.79,CIS
10316,118.26,121.31,CIS
10317,2.43,3.04,CIS
10317,24.38,25.90,CIS
10317,41.75,42.36,CIS
10319,5.79,6.40,CIS
10321,7.62,13.10,CIS
10324,0.00,7.62,CIS
10325,12.95,16.00,CIS
10325,39.01,39.62,CIS
10325,98.14,102.41,CIS
10326,0.00,6.40,CIS
10327,0.00,9.90,CIS
10327,145.54,146.30,CIS
10327,153.16,153.31,CIS
10327,159.10,159.25,CIS
10328,9.99,20.26,CIS
10328,58.52,58.97,CIS
10330,22.86,23.16,CIS
10330,35.66,43.28,CIS
10331,31.54,32.15,CIS
10331,58.36,58.67,CIS
10334,14.02,15.24,CIS
10334,21.94,22.25,CIS
10334,71.78,72.69,CIS
10335,68.27,70.10,CIS
10335,112.92,114.60,CIS
10335,120.70,121.00,CIS
10336,80.01,80.31,CIS
10337,0.00,0.45,CIS
10337,11.58,11.88,CIS
10337,22.40,22.86,CIS
10338,7.62,10.72,CIS
10338,10.97,11.27,CIS
10340,3.96,8.53,CIS
10341,5.79,7.92,CIS
10341,13.71,14.32,CIS
10342,10.91,11.88,CIS
10342,49.22,68.27,CIS
10344,3.65,9.14,CIS
10349,7.31,8.68,CIS
10349,17.22,17.52,CIS
10358,1.67,2.13,CIS
10358,7.46,8.38,CIS
10359,8.83,9.14,CIS
10363,18.74,23.62,CIS
10363,50.13,51.05,CIS
10368,0.00,3.04,CIS
10368,21.79,24.38,CIS
10370,17.37,18.28,CIS
10371,30.48,30.78,CIS
10371,31.24,32.91,CIS
10374,16.00,17.52,CIS
10377,10.36,11.12,CIS
10377,58.82,59.43,CIS
10378,35.35,37.33,CIS
10379,11.73,12.49,CIS
10379,21.03,21.33,CIS
10380,1.06,15.24,CIS
10382,0.00,0.91,CIS
10382,12.80,13.71,CIS
10392,0.00,0.30,CIS
10392,1.06,1.67,CIS
10392,9.29,9.60,CIS
10393,0.00,0.30,CIS
10393,23.92,24.07,CIS
10395,14.32,14.38,CIS
10403,48.46,49.37,CIS
10403,71.93,76.20,CIS
10403,85.03,88.23,CIS
10403,108.20,112.62,CIS
10403,179.83,187.14,CIS
10403,205.43,209.70,CIS
10403,280.26,280.87,CIS
10403,290.47,293.82,CIS
10403,302.05,302.97,CIS
10403,303.88,311.20,CIS
10403,347.16,347.77,CIS
10403,440.43,441.35,CIS
10403,451.10,452.62,CIS
10403,475.79,478.53,CIS
10404,11.58,13.10,CIS
10404,46.63,47.24,CIS
10404,75.43,76.29,CIS
10407,83.82,85.80,CIS
10413,20.72,23.62,CIS
10413,43.43,43.73,CIS
10415,27.58,34.89,CIS
10415,75.59,76.04,CIS
10415,112.16,121.00,CIS
10427,30.17,30.48,CIS
10428,24.38,25.90,CIS
10430,41.45,42.97,CIS
10446,0.00,6.12,CIS
10447,1.06,12.19,CIS
10448,0.00,1.52,CIS
10450,34.59,40.38,CIS
10451,0.00,6.09,CIS
10451,7.01,12.64,CIS
10451,48.46,49.98,CIS
10451,67.97,70.71,CIS
10452,0.00,3.50,CIS
10452,8.99,13.41,CIS
10452,19.65,20.87,CIS
10453,4.11,12.64,CIS
10453,18.28,24.68,CIS
10453,32.00,34.13,CIS
10454,32.30,33.83,CIS
10455,7.92,8.83,CIS
10455,9.90,10.21,CIS
10455,15.39,16.15,CIS
10455,25.35,28.34,CIS
10455,30.78,31.24,CIS
10455,31.85,35.20,CIS
10470,0.00,3.65,CIS
10470,24.68,25.14,CIS
10470,102.71,106.68,CIS
10470,204.67,204.97,CIS
10470,230.73,232.25,CIS
10470,241.70,242.01,CIS
10470,245.36,246.27,CIS
10471,8.99,9.60,CIS
10471,21.94,22.86,CIS
10471,67.81,68.88,CIS
10471,69.18,69.79,CIS
10471,156.97,157.58,CIS
10471,159.56,160.02,CIS
10471,256.33,257.09,CIS
10471,257.86,259.68,CIS
10475,6.85,7.16,CIS
10476,3.35,4.26,CIS
10480,3.96,5.33,CIS
10480,25.29,28.95,CIS
10480,59.74,60.96,CIS
10506,22.86,23.31,CIS
10506,53.94,54.25,CIS
10509,0.00,3.65,CIS
10514,30.63,38.95,CIS
10525,16.15,20.42,CIS
10525,42.82,52.73,CIS
10526,33.52,37.03,CIS
10526,42.06,61.87,CIS
10533,0.00,2.13,CIS
10533,23.16,25.60,CIS
10534,20.72,26.06,CIS
10535,22.06,37.79,CIS
10537,40.96,41.30,CIS
10537,58.36,63.39,CIS
10537,65.07,67.51,CIS
10537,74.06,74.67,CIS
10537,76.20,77.11,CIS
10537,82.60,83.51,CIS
10537,108.20,109.72,CIS
10537,151.48,151.79,CIS
10537,159.71,187.45,CIS
10563,1.21,4.57,CIS
10565,0.00,5.33,CIS
10566,9.14,12.95,CIS
10574,13.71,17.37,CIS
10574,34.74,38.70,CIS
10574,44.19,45.72,CIS
10575,21.33,23.46,CIS
10594,19.14,21.33,CIS
10596,0.00,0.91,CIS
10607,4.57,6.70,CIS
10607,68.30,69.40,CIS
10609,0.00,15.14,CIS
10622,16.45,19.81,CIS
10640,14.38,15.24,CIS
10640,46.36,47.24,CIS
10641,21.88,22.86,CIS
10641,58.39,58.82,CIS
10641,98.08,102.10,CIS
10643,11.73,15.24,CIS
10643,27.70,30.48,CIS
10643,31.69,32.76,CIS
10643,70.86,71.62,CIS
10643,105.58,106.07,CIS
10643,111.25,111.70,CIS
10644,71.81,72.99,CIS
10644,99.94,110.39,CIS
10645,0.60,4.51,CIS
10645,21.88,22.61,CIS
10646,59.74,60.04,CIS
10655,7.62,8.50,CIS
10656,48.76,49.59,CIS
10657,22.06,24.62,CIS
10657,36.17,38.10,CIS
10657,40.23,41.14,CIS
10658,0.00,0.60,CIS
10658,35.75,36.05,CIS
10658,44.86,45.47,CIS
10660,38.70,38.86,CIS
10661,0.00,9.14,CIS
10661,55.77,56.38,CIS
10661,68.58,85.34,CIS
10661,94.48,104.24,CIS
10662,38.74,41.51,CIS
10665,217.71,225.55,CIS
10672,19.81,21.54,CIS
10677,56.02,61.87,CIS
10677,198.30,198.60,CIS
10677,239.35,240.36,CIS
10677,309.21,312.42,CIS
10678,0.00,46.20,CIS
10678,243.84,244.60,CIS
10678,244.90,246.06,CIS
10678,247.43,248.41,CIS
10678,308.57,308.94,CIS
10678,457.80,459.02,CIS
10678,734.56,734.96,CIS
10688,14.32,18.89,CIS
10691,126.73,129.93,CIS
10691,180.44,181.75,CIS
10700,25.75,26.21,CIS
10701,5.85,6.09,CIS
10701,7.62,8.53,CIS
10705,49.98,50.74,CIS
10706,38.40,39.31,CIS
10707,10.66,15.54,CIS
10707,27.73,30.99,CIS
10708,23.28,36.45,CIS
10709,8.07,9.14,CIS
10709,25.11,26.12,CIS
10713,13.86,14.75,CIS
10713,21.36,22.00,CIS
10714,0.00,11.88,CIS
10714,19.08,26.82,CIS
10716,0.00,0.76,CIS
10716,32.73,37.03,CIS
10727,7.86,8.59,CIS
10727,53.34,54.55,CIS
10728,49.22,50.29,CIS
10729,0.60,1.21,CIS
10731,6.55,33.52,CIS
10731,76.20,76.65,CIS
10732,29.56,30.48,CIS
10732,30.48,31.39,CIS
10732,83.27,83.51,CIS
10732,84.21,85.19,CIS
10741,5.48,6.09,CIS
10741,10.66,11.43,CIS
10752,6.03,16.03,CIS
10778,0.00,2.13,CIS
10778,3.71,30.05,CIS
10778,38.10,41.14,CIS
10779,0.00,13.25,CIS
10779,40.38,41.14,CIS
10783,0.60,12.49,CIS
10784,21.18,21.45,CIS
10784,22.86,23.68,CIS
10784,45.93,47.24,CIS
10784,48.18,48.76,CIS
10797,5.24,6.00,CIS
10797,8.29,10.66,CIS
10797,13.71,25.14,CIS
10798,0.00,3.04,CIS
10798,7.13,33.83,CIS
10799,9.63,10.42,CIS
10799,12.80,13.04,CIS
10800,0.00,3.04,CIS
10800,5.18,5.79,CIS
10800,26.21,32.70,CIS
10801,14.47,17.52,CIS
10801,29.26,29.56,CIS
10801,30.96,31.27,CIS
10806,9.23,9.72,CIS
10806,26.30,26.60,CIS
10810,63.24,63.70,CIS
10810,64.83,65.01,CIS
10811,73.27,87.20,CIS
10813,0.00,4.08,CIS
10814,22.86,30.14,CIS
10822,0.00,0.21,CIS
10824,1.82,2.43,CIS
10824,8.56,9.41,CIS
10824,49.34,49.74,CIS
10829,11.46,16.00,CIS
10831,14.47,16.30,CIS
10831,17.43,18.28,CIS
10835,19.20,21.12,CIS
10843,15.36,17.52,CIS
10844,3.87,10.48,CIS
10851,1.98,2.34,CIS
10852,0.73,1.85,CIS
10852,4.08,6.73,CIS
10854,0.94,1.82,CIS
10862,0.00,22.70,CIS
10862,66.29,69.67,CIS
10862,114.20,115.09,CIS
10862,183.79,187.20,CIS
10862,205.92,206.31,CIS
10862,246.88,247.89,CIS
10866,5.63,11.03,CIS
10866,17.98,20.57,CIS
10867,15.24,15.54,CIS
10867,32.43,34.56,CIS
10868,20.11,23.62,CIS
10868,44.40,45.72,CIS
10868,68.33,69.43,CIS
10868,85.40,88.45,CIS
10868,89.42,89.61,CIS
10871,0.00,2.19,CIS
10875,24.17,30.48,CIS
10-88-T,53.03,63.09,CIS
10-88-T,98.45,102.71,CIS
10-88-T,224.63,228.60,CIS
10-88-T,347.47,355.70,CIS
10-88-T,364.23,365.45,CIS
10-88-T,368.50,372.16,CIS
10-88-T,384.96,385.87,CIS
10-88-T,386.48,387.70,CIS
10-88-T,395.02,395.63,CIS
10-88-T,461.77,465.73,CIS
10-88-T,487.37,488.28,CIS
10-88-T,527.91,528.21,CIS
10-88-T,567.23,587.34,CIS
10897,56.14,66.90,CIS
10897,71.96,82.75,CIS
10902,31.02,32.21,CIS
10902,67.36,67.90,CIS
10905,61.75,62.48,CIS
10910,0.00,0.60,CIS
10913,33.40,33.74,CIS
10933,36.14,37.82,CIS
10941,14.02,14.32,CIS
10941,18.74,18.89,CIS
10945,44.50,45.72,CIS
10946,18.44,25.57,CIS
10950,6.52,10.88,CIS
10950,33.19,35.84,CIS
10951,2.04,2.31,CIS
10963,1.61,21.39,CIS
10963,30.69,34.38,CIS
10965,19.20,19.81,CIS
10974,0.00,0.36,CIS
10974,1.61,3.16,CIS
10974,4.87,5.27,CIS
10976,0.00,7.71,CIS
10977,49.37,50.29,CIS
10978,7.10,12.83,CIS
10980,6.52,10.30,CIS
10981,2.40,3.04,CIS
10982,0.00,0.57,CIS
10982,1.46,1.79,CIS
10982,12.43,16.33,CIS
10986,0.00,14.63,CIS
10987,0.00,9.14,CIS
10988,0.00,6.70,CIS
1101,3.04,7.62,CIS
1101,9.14,10.66,CIS
1101,12.19,13.71,CIS
11010,128.22,128.65,CIS
11010,154.83,156.66,CIS
11010,206.22,206.31,CIS
11010,211.86,212.96,CIS
11011,158.43,162.67,CIS
11016,0.82,3.71,CIS
11016,4.87,19.20,CIS
1102,21.64,22.03,CIS
1102,33.52,38.10,CIS
1102,79.24,81.53,CIS
1102,83.82,88.39,CIS
1102,94.48,96.01,CIS
11020,14.78,15.24,CIS
11020,20.93,21.33,CIS
11020,22.55,23.16,CIS
11021,69.52,69.92,CIS
11021,94.09,94.48,CIS
11021,122.40,123.23,CIS
11021,127.25,127.86,CIS
11022,0.00,1.03,CIS
1103,41.14,45.87,CIS
1103,64.70,64.77,CIS
1103,132.89,134.11,CIS
1103,201.93,202.47,CIS
11031,12.49,12.80,CIS
11031,75.28,77.87,CIS
11032,60.04,60.35,CIS
11033,31.69,34.59,CIS
1104,1.06,2.59,CIS
1104,10.66,12.19,CIS
1104,100.12,100.43,CIS
1104,104.60,105.46,CIS
11041,0.00,0.48,CIS
11042,1.34,4.84,CIS
11042,5.79,7.62,CIS
11042,23.56,23.62,CIS
11042,24.62,27.18,CIS
11042,28.65,36.27,CIS
11042,52.02,52.05,CIS
11043,0.00,8.47,CIS
11046,19.96,21.33,CIS
11046,58.64,59.10,CIS
11046,123.56,123.80,FAI
11049,15.24,22.86,CIS
11050,20.42,23.46,CIS
11055,33.86,39.38,CIS
11058,112.16,113.32,CIS
1106,0.00,0.30,CIS
11073,32.43,32.76,CIS
11073,36.36,37.00,CIS
11077,16.70,19.90,CIS
11078,44.53,44.98,CIS
11081,0.00,1.98,CIS
11081,58.91,65.44,CIS
11082,1.52,2.49,CIS
11084,0.57,2.59,CIS
11085,0.00,8.38,CIS
11086,0.57,3.44,CIS
11086,36.57,37.58,CIS
11095,30.48,36.57,CIS
11109,2.31,2.86,CIS
11119,8.99,9.47,CIS
11119,36.42,37.03,CIS
11119,37.58,37.97,CIS
11119,55.71,56.38,CIS
11119,97.53,101.04,CIS
11119,276.72,277.27,CIS
11119,285.62,286.51,CIS
11121,0.00,11.73,CIS
11127,6.61,11.30,CIS
11127,22.34,29.19,CIS
11128,3.32,3.93,CIS
11129,0.00,11.73,CIS
11129,15.78,33.52,CIS
11130,9.90,12.80,CIS
11131,0.00,8.01,CIS
11131,19.05,19.56,CIS
11133,7.07,25.90,CIS
11133,33.22,46.32,CIS
11135,0.00,47.97,CIS
11135,75.46,81.53,CIS
11135,93.87,96.92,CIS
11135,104.85,112.16,CIS
11135,152.40,153.61,CIS
11136,7.98,8.38,CIS
11138,93.51,94.18,CIS
11138,136.85,137.46,CIS
11139,0.00,91.44,CIS
11139,123.20,142.03,CIS
11140,0.00,47.54,CIS
11140,58.43,61.44,CIS
11140,74.15,78.42,CIS
11140,87.32,90.22,CIS
11140,95.09,100.58,CIS
11140,104.33,112.10,CIS
11141,0.00,49.07,CIS
11141,52.42,57.05,CIS
11142,0.00,82.32,CIS
11142,137.76,138.37,CIS
11142,155.14,155.44,CIS
11143,12.80,14.63,CIS
11143,22.79,23.77,CIS
11143,41.30,43.58,CIS
11150,37.79,39.28,CIS
11151,15.27,15.81,CIS
11157,3.99,7.01,CIS
11161,39.62,40.23,FAI
11182,0.00,7.80,CIS
11183,7.62,8.53,CIS
11183,25.66,25.75,CIS
11184,22.43,23.56,CIS
11184,24.38,24.99,CIS
11187,0.00,12.03,CIS
11187,34.44,35.66,CIS
11187,39.62,40.23,CIS
11187,63.03,77.41,CIS
11197,0.00,66.14,CIS
11199,7.37,7.74,CIS
11203,5.76,6.09,CIS
11203,10.66,13.62,CIS
11246,0.00,24.07,CIS
11246,79.24,90.28,CIS
11246,99.06,119.66,CIS
11254,0.00,3.04,CIS
11262,35.38,36.02,CIS
11288,10.36,14.32,CIS
11292,8.10,9.08,CIS
11292,28.95,30.84,CIS
11295,20.33,20.90,CIS
11296,12.19,12.92,CIS
11297,4.57,5.36,CIS
11297,13.56,14.69,CIS
11298,0.00,1.21,CIS
11298,1.52,1.95,CIS
11298,2.19,2.68,CIS
11298,4.05,4.48,CIS
11298,8.29,8.71,CIS
11298,9.14,9.63,CIS
11298,10.97,16.91,CIS
11298,17.61,17.95,CIS
11298,19.96,20.75,CIS
11298,21.33,22.09,CIS
11298,22.86,23.40,CIS
11298,24.38,28.95,CIS
11299,42.36,43.28,CIS
11300,57.57,58.15,CIS
11300,59.43,60.19,CIS
11301,88.39,89.06,CIS
11301,90.89,91.44,CIS
11302,14.50,14.96,CIS
11302,19.05,21.73,CIS
11302,33.61,37.33,CIS
11303,3.04,3.93,CIS
11303,6.49,7.16,CIS
11303,7.95,9.14,CIS
11307,0.42,1.31,CIS
11307,2.83,3.29,CIS
11307,13.80,14.11,CIS
11307,15.24,15.84,CIS
11308,84.61,90.70,CIS
11313,67.05,93.26,CIS
11332,76.93,77.02,CIS
11332,110.39,115.24,CIS
11391,1.34,2.28,CIS
11391,3.04,3.47,CIS
11391,3.90,6.09,CIS
11391,11.03,13.19,CIS
11391,22.25,22.86,CIS
11394,2.52,3.26,CIS
11404,3.71,4.87,CIS
11408,10.18,16.33,CIS
11414,1.12,4.05,CIS
11414,5.73,5.79,CIS
11426,11.46,12.98,CIS
11426,35.75,37.39,CIS
11434,2.86,5.02,CIS
11437,22.86,24.07,CIS
11440,5.48,6.58,CIS
11442,21.64,24.84,CIS
11446 B,41.36,46.14,CIS
11448,33.43,34.71,CIS
11451,0.00,5.24,CIS
11452,2.04,7.25,CIS
11452,35.23,35.38,CIS
11454,32.00,35.05,CIS
11454,57.91,59.43,CIS
11454,64.00,66.62,CIS
11454,67.05,67.81,CIS
11454,80.92,80.98,CIS
11454,81.16,81.22,CIS
11460,16.18,18.04,CIS
11460,24.62,25.63,CIS
11462,17.67,17.98,CIS
11462,18.34,18.68,CIS
11462B,19.05,19.14,CIS
11462B,19.93,19.96,CIS
11462B,25.54,32.67,CIS
11478,0.00,15.24,CIS
11483,0.00,6.37,CIS
11484,7.62,12.95,CIS
11485,0.00,11.00,CIS
11501,26.51,27.43,CIS
11502,5.33,11.43,CIS
11512,9.90,10.05,CIS
11512,15.54,16.15,CIS
11512,23.77,31.39,CIS
11513,1.98,2.59,CIS
11513,3.07,3.96,CIS
11513,8.38,9.14,CIS
11513,12.64,13.10,CIS
11514,18.59,21.94,CIS
11514,27.52,28.34,CIS
11517,4.90,6.12,CIS
11518,13.10,24.90,CIS
11524,16.45,16.76,CIS
11524,27.58,29.10,CIS
11524,33.22,34.25,CIS
11524,38.40,40.23,CIS
11533,2.86,14.08,CIS
11533,41.72,42.18,CIS
11546,36.69,37.21,CIS
11550,0.00,40.35,CIS
11551,19.41,23.77,CIS
11553,0.00,0.76,CIS
11553,35.41,35.72,CIS
11553,75.10,75.62,CIS
11554,76.20,76.71,CIS
11555,3.77,4.57,CIS
11555,59.43,60.35,CIS
11562,0.00,2.13,CIS
11562,15.02,15.91,CIS
11562,17.19,18.04,CIS
11571,3.50,4.11,CIS
11572,11.88,12.86,CIS
11586,0.00,6.00,CIS
11587,2.43,3.47,CIS
11587,10.18,29.13,CIS
11588,0.00,3.35,CIS
11591,21.94,22.86,CIS
11591,43.95,45.72,CIS
11592,0.00,14.93,CIS
11593,0.00,14.93,CIS
11594,0.00,4.02,CIS
11594,6.09,7.62,CIS
11597,0.00,44.34,CIS
11597,72.57,91.44,CIS
11598,75.13,75.62,CIS
11600,0.00,18.47,CIS
11600,67.93,70.01,CIS
11604,3.59,4.35,CIS
11604,49.22,49.92,CIS
11604,70.86,72.69,CIS
11604,73.70,74.40,CIS
11604,79.24,84.03,CIS
11615,5.88,7.62,CIS
11616,0.00,4.41,CIS
11617,0.00,7.62,CIS
11619,32.06,35.53,CIS
11623,0.00,16.03,CIS
11624,3.87,9.78,CIS
11625,0.00,19.17,CIS
11629,42.48,43.31,CIS
11630,3.16,16.33,CIS
11630,43.06,44.04,CIS
11631,8.99,26.54,CIS
11633,22.25,23.95,CIS
11633,23.95,40.53,CIS
1164,15.24,18.22,CIS
11644,57.51,58.03,CIS
11646,1.15,1.21,CIS
11646,10.48,14.41,CIS
11646,29.68,30.11,CIS
11650,14.38,15.91,CIS
11650,67.05,67.97,CIS
11659,7.46,7.80,CIS
11659,36.42,37.18,CIS
11659,71.47,72.48,CIS
11659,125.57,125.88,CIS
11666,40.84,42.67,CIS
11666,65.28,65.98,CIS
11666,67.05,67.81,CIS
11667,14.66,15.24,CIS
11668,36.36,38.49,CIS
11668,53.06,53.34,CIS
11670,19.20,29.74,CIS
11670,50.93,51.11,CIS
