HOLE-ID,LOC_UTMX,LOC_UTMY,LOC_UTMZ,AZ_UTM,DIP,LENGTH_M,NO_DATA,DOUBTFUL_C
10050,294718.82,5331004.72,-55.72,183.81,-29.66,39.62,,
10051,294945.93,5331223.68,-1106.72,182.31,0.00,15.24,No_Litho,
10052,294881.95,5331070.24,-54.65,2.31,22.50,22.86,No_Litho,
10053,294919.96,5331055.24,-53.41,2.31,42.50,22.55,,
10054,294882.67,5331070.05,-53.89,2.31,50.00,15.24,No_Both,
10055,294143.39,5331277.03,-773.33,5.89,87.50,53.94,,
10056,294143.40,5331276.59,-775.62,179.89,-72.50,30.17,,
10057,294199.19,5331264.12,-773.90,360.23,81.00,44.19,,
10058,294199.20,5331263.68,-776.05,180.31,-76.33,44.80,,
10059,294260.49,5331245.80,-774.54,10.56,85.00,42.67,No_Litho,
1006,294645.11,5331222.09,212.72,182.73,-11.00,45.41,,
10060,294904.26,5331179.81,136.91,2.31,-87.00,45.72,,
10061,294904.24,5331179.95,138.55,2.31,85.00,46.63,,
10062,294904.21,5331179.42,138.59,188.74,71.08,122.22,,
10063,294904.21,5331179.26,136.33,182.31,-60.00,121.61,,
10064,294819.86,5331199.19,138.26,2.31,87.00,46.02,,
10065,294819.85,5331199.04,135.97,182.31,-85.00,52.42,,
10066,294779.10,5331205.64,138.01,2.31,87.00,60.96,,
10067,294779.13,5331205.85,138.02,2.31,77.00,67.97,,
10068,294779.13,5331205.86,135.75,2.31,-77.00,90.52,,
10069,294779.04,5331204.74,138.17,185.29,56.32,76.50,,
1007,294645.13,5331222.37,212.29,184.68,-45.17,42.06,,
10070,294779.00,5331204.86,135.73,182.31,-57.00,60.96,,
10071,294779.07,5331205.48,135.70,182.31,-82.00,45.72,,
10072,294597.56,5331185.97,-972.65,182.31,0.00,46.93,,
10073,294449.29,5331167.42,-457.74,182.31,70.00,22.86,,
10074,294630.03,5331249.58,-322.10,2.31,-65.00,22.55,No_Litho,
10075,294629.21,5331248.15,-319.97,182.31,65.00,22.55,No_Litho,
10076,294718.58,5331217.63,-56.13,2.31,90.00,15.24,,
10077,294692.42,5331266.84,-340.21,2.31,-90.00,8.22,No_Assay,
10078,294246.37,5331208.56,-410.15,6.16,59.62,74.37,,
10079,294246.30,5331208.05,-412.42,6.18,-69.25,91.44,,
1008,294645.15,5331222.71,212.08,177.24,-69.00,38.64,,
10080,294246.25,5331207.61,-410.09,182.31,80.00,91.13,,
10081,294246.19,5331207.19,-412.45,182.31,-60.00,42.36,,
10082,294621.84,5331288.34,-320.02,182.31,65.00,21.94,No_Litho,
10083,294622.10,5331289.46,-322.46,2.31,-65.00,32.00,No_Litho,
10084,294886.87,5331155.00,-168.15,2.31,65.00,43.28,No_Litho,
10085,294886.85,5331154.48,-168.12,2.31,87.00,35.05,No_Litho,
10086,294886.83,5331153.75,-168.12,182.31,62.00,46.93,No_Litho,
10087,294843.69,5331163.89,-170.60,182.31,-87.00,34.74,,
10088,294843.75,5331164.11,-168.36,2.31,77.00,37.33,,
10089,295005.74,5331104.62,-167.73,182.14,48.50,45.72,,
1009,294736.75,5331122.54,-17.55,219.31,0.00,30.78,,
10090,295037.98,5331101.93,-169.85,174.41,-70.75,121.31,No_Litho,
10091,295037.88,5331101.77,-167.44,182.31,64.33,93.57,No_Litho,
10092,295037.87,5331102.87,-167.52,2.31,67.00,91.13,No_Litho,
10093,295037.93,5331102.93,-169.85,2.31,-64.33,106.37,No_Litho,
10094,295063.82,5331105.58,-167.79,182.73,47.10,45.72,,
10095,293939.89,5331095.38,-126.22,182.31,50.00,35.66,No_Litho,
10096,293939.91,5331096.13,-128.29,178.97,-79.33,152.40,No_Litho,
10097,294100.46,5331176.88,-126.59,360.28,79.83,44.80,,
10098,294100.46,5331176.46,-128.94,180.23,-79.83,44.80,,
10099,294192.78,5331173.05,-127.56,6.23,55.25,91.44,,
101,294564.36,5331076.06,212.64,34.44,0.00,72.84,,
1010,294748.09,5331074.83,-17.64,42.81,0.00,30.48,No_Litho,
10100,294192.74,5331172.90,-129.74,4.23,-61.42,27.12,,
10101,294192.65,5331171.67,-127.41,185.06,62.70,45.11,,
10102,294192.62,5331171.54,-129.76,186.21,-55.25,121.00,,
10103,294446.71,5331264.92,-283.14,182.31,-82.00,53.34,,
10104,294446.59,5331265.69,-280.85,2.31,80.00,72.23,,
10105,294297.97,5331224.82,-280.11,178.66,60.02,15.24,,
10106,294297.90,5331224.31,-281.02,178.66,15.00,38.40,,
10107,294297.89,5331224.90,-282.45,182.31,-60.00,90.83,,
10108,294736.83,5331315.11,-367.73,182.31,40.00,15.24,,
10109,294762.16,5331238.25,-502.89,152.06,42.25,14.93,No_Litho,
1011,294848.96,5331103.06,137.60,172.84,58.00,39.83,,
10110,294260.57,5331246.22,-774.73,5.64,58.85,91.44,No_Litho,
10111,294260.43,5331245.33,-774.73,190.56,71.75,60.96,No_Litho,
10112,294723.39,5331191.64,-133.19,2.31,-90.00,23.16,No_Assay,
10113,294723.49,5331191.40,-133.11,168.21,-72.37,13.41,No_Assay,
10114,294725.91,5331190.40,-132.67,118.73,-41.85,17.98,No_Assay,
10115,294497.28,5331112.53,-781.71,2.81,-27.48,60.35,No_Litho,
10116,294722.75,5331190.59,-132.55,248.93,-39.35,10.05,No_Assay,
10117,294558.95,5331183.96,-972.37,175.51,0.10,34.13,,
10118,294497.22,5331111.79,-803.05,3.29,59.25,91.74,,
10119,294379.19,5331164.60,-594.17,360.58,38.92,38.10,,
1012,294848.50,5331104.43,137.27,350.96,49.00,34.01,,
10120,294379.21,5331164.18,-595.90,5.89,-64.00,60.35,,
10121,294407.34,5331177.05,-639.26,2.31,54.00,37.79,,
10122,294556.10,5331184.01,-972.18,222.39,1.50,39.31,,
10123,294843.76,5331164.26,-168.36,2.31,82.00,35.96,,
10124,294646.16,5331007.33,-1019.07,182.31,0.00,11.27,,
10125,294674.62,5331017.16,-1019.04,182.31,0.00,6.09,,
10126,294615.21,5331340.28,136.73,182.31,-87.00,45.11,,
10127,294615.21,5331340.40,138.99,2.31,87.00,46.02,,
10128,294651.84,5331344.86,136.51,182.31,-87.00,45.11,,
10129,294651.85,5331344.91,138.73,2.31,87.00,46.02,,
1013,294886.48,5331123.63,136.67,182.59,0.00,44.80,,
10130,294691.28,5331345.37,136.37,2.31,-90.00,45.11,,
10131,294691.28,5331345.37,139.00,2.31,90.00,45.72,,
10132,294680.74,5331397.34,139.37,2.31,90.00,46.02,,
10133,294680.74,5331397.34,136.81,2.31,-90.00,46.32,,
10134,294715.73,5331250.42,-367.42,159.81,54.60,52.42,,
10135,294714.03,5331250.59,-367.04,267.73,51.85,37.79,,
10136,294518.34,5331086.38,-1322.22,183.21,1.00,224.33,No_Litho,
10137,294518.56,5331090.96,-1322.52,3.84,0.83,248.41,No_Litho,
10138,294856.80,5331143.39,-1262.56,182.31,0.00,22.55,No_Litho,
10139,294856.77,5331145.70,-1262.67,2.31,0.00,15.84,No_Litho,
1014,294886.54,5331125.07,135.83,181.91,-74.00,36.27,,
10140,294386.21,5331203.06,-622.05,2.31,-30.00,10.66,,
10141,294386.07,5331203.00,-620.56,2.31,45.00,15.24,,
10142,294671.70,5331254.61,-339.40,2.31,-90.00,14.93,,
10143,294684.62,5331228.45,-335.26,2.31,-90.00,17.37,,
10144,294779.15,5331205.69,135.70,2.31,-90.00,50.29,,
10145,294691.47,5331224.90,135.40,182.31,-86.00,25.60,,
10146,294664.07,5331229.97,138.15,11.91,81.12,34.44,,
10147,294663.99,5331229.58,135.57,191.91,-81.12,16.45,,
10148,294854.03,5331192.18,138.50,2.31,83.00,38.10,,
10149,294854.02,5331192.02,136.04,2.31,-90.00,44.80,,
1015,294886.65,5331125.66,138.06,2.31,90.00,33.74,,
10150,294887.32,5331185.60,136.24,2.31,-90.00,46.63,,
10151,294887.28,5331185.79,138.61,2.31,80.00,42.67,,
10152,294698.36,5331311.07,138.54,4.84,65.00,53.34,,
10153,294504.29,5331293.79,-281.23,2.31,87.00,45.72,No_Litho,
10154,294504.28,5331293.94,-281.17,5.24,76.77,59.74,No_Litho,
10155,294504.23,5331293.45,-283.52,185.23,-76.75,37.49,No_Litho,
10156,294582.61,5331220.76,-478.88,2.31,45.00,19.20,,
10157,294582.11,5331219.96,-479.31,182.91,46.25,22.55,,
10158,294590.86,5331224.02,-479.00,353.81,56.16,22.55,,
10159,294593.10,5331222.93,-479.21,159.41,61.83,21.64,,
1016,294441.94,5331105.52,178.27,181.73,58.65,35.96,,
10160,295134.33,5331101.37,-167.39,182.31,80.00,106.68,No_Litho,
10161,295134.30,5331100.51,-167.94,182.31,30.00,50.90,No_Litho,
10162,295134.33,5331100.92,-169.70,182.31,-60.00,41.75,No_Litho,
10163,295134.35,5331101.84,-167.39,8.11,78.15,106.68,No_Litho,
10164,295134.42,5331101.82,-169.70,9.01,-79.30,120.39,No_Litho,
10165,294394.40,5330868.32,321.16,2.31,-90.00,487.68,,
10166,294620.21,5330946.49,318.87,2.31,-90.00,106.68,,
10167,294822.38,5331713.71,316.78,2.31,-50.00,304.80,,
10168,295119.02,5331845.08,316.78,2.31,-55.00,297.48,,
10169,294841.73,5332191.85,309.77,182.31,-57.00,383.13,,
1017,294441.65,5331106.95,178.21,4.11,75.13,17.83,,
10170,294838.40,5332109.62,309.77,2.31,-60.00,407.21,,
10171,294858.36,5332602.99,316.78,182.31,-60.00,354.17,,
10172,293921.23,5331157.63,-243.38,4.81,-14.58,38.10,,
10173,294530.57,5331300.08,-281.05,2.31,79.00,45.11,No_Litho,
10174,294530.58,5331299.82,-283.72,2.31,-88.00,46.93,No_Litho,
10175,294530.61,5331299.33,-283.78,182.31,-72.00,33.52,No_Litho,
10176,294657.42,5331218.81,-321.02,358.38,43.50,66.44,,
10177,294601.68,5331228.74,-244.53,359.93,67.30,121.92,,
10178,294601.71,5331228.65,-246.78,9.38,-71.17,102.10,,
10179,294652.54,5331234.45,-246.90,2.31,-82.00,84.42,,
1018,294293.30,5331091.41,178.52,2.31,90.00,15.24,,
10180,294126.41,5331186.53,-126.42,2.31,80.00,46.32,,
10181,294687.63,5331203.79,-552.06,359.06,-51.42,46.63,,
10182,294652.55,5331234.70,-244.55,5.96,69.30,121.00,,
10183,294680.99,5330993.58,-137.31,178.14,70.25,22.86,,
10184,294681.99,5331012.77,-140.68,350.39,49.46,14.93,,
10185,294682.16,5331012.53,-142.75,356.81,-64.42,22.25,,
10186,294940.44,5331229.98,-1103.58,3.73,2.08,15.24,No_Litho,
10187,294940.55,5331227.16,-1102.99,187.01,34.75,18.59,No_Litho,
10188,295036.22,5331101.40,-168.12,178.31,28.50,83.51,No_Litho,
10189,295036.18,5331101.43,-169.45,181.34,-32.75,87.78,No_Litho,
1019,294291.37,5331097.86,178.74,2.31,90.00,14.93,,
10190,294715.66,5331217.07,252.74,182.31,55.00,14.63,,
10191,294752.32,5331204.97,252.47,182.31,65.00,12.49,,
10192,294919.38,5331158.52,-1261.76,358.16,-3.25,45.72,,
10193,294919.51,5331155.57,-1261.77,177.43,-0.55,45.11,,
10194,294546.76,5331290.24,-319.88,4.64,63.42,121.92,,
10195,294668.82,5331241.73,-595.13,2.31,83.00,42.36,,
10196,294668.80,5331241.28,-597.67,182.31,-70.00,44.19,,
10197,294548.68,5331440.23,-551.24,181.78,-43.42,89.91,,
10198,294558.37,5331434.07,-365.82,2.31,70.00,106.68,,
10199,294583.39,5331440.76,-345.26,5.53,77.60,46.02,,
102,294739.38,5331088.75,135.91,154.94,0.00,78.48,,
1020,294267.04,5331101.26,178.95,2.31,90.00,12.19,,
10200,294543.83,5331440.69,-550.37,182.31,0.00,21.64,No_Litho,
10201,294601.62,5331227.31,-246.58,182.31,-46.95,60.65,,
10202,294987.25,5331412.42,-364.88,180.56,31.20,57.30,No_Litho,
10203,295023.62,5331411.32,-364.71,183.97,30.30,57.30,,
10204,294956.43,5331412.16,-365.05,180.56,28.40,56.38,No_Litho,
10205,294905.93,5331415.02,-365.00,187.26,28.00,60.35,No_Litho,
10206,294630.35,5331222.42,-595.28,6.39,44.16,30.48,No_Litho,
10207,294630.18,5331220.22,-595.26,182.56,43.72,38.10,No_Litho,
10208,294507.07,5331189.08,-246.30,2.31,-90.00,135.63,,
10209,294507.07,5331189.07,-243.86,2.31,90.00,9.75,,
1021,294271.84,5331091.50,178.49,2.31,90.00,12.19,,
10210,294507.08,5331189.58,-243.97,2.31,65.00,122.52,,
10211,294559.91,5331213.75,-244.28,361.81,68.75,120.39,,
10212,294559.85,5331213.36,-244.21,2.31,90.00,60.96,,
10213,294559.83,5331213.29,-246.54,2.31,-90.00,136.55,,
10214,294559.81,5331212.77,-246.57,182.31,-65.00,119.78,,
10215,294899.73,5331153.36,-1261.89,359.81,4.83,30.17,No_Litho,
10216,294687.60,5331202.26,-550.07,175.59,75.00,43.28,,
10217,294687.65,5331201.81,-552.33,175.59,-48.25,109.42,,
10218,294480.25,5331173.63,-971.60,358.81,-1.00,30.48,No_Litho,
10219,294480.35,5331170.99,-971.56,178.81,1.00,30.17,No_Litho,
1022,294441.79,5331105.47,177.94,175.94,30.25,21.94,,
10220,294462.66,5331102.74,-1261.59,361.96,0.00,30.78,,
10221,294462.63,5331100.31,-1261.60,183.96,0.00,30.17,,
10222,294546.80,5331290.03,-322.11,361.13,-67.70,119.17,,
10223,294546.78,5331289.14,-319.94,181.13,67.70,121.92,,
10224,294546.64,5331289.18,-322.21,182.31,-70.00,68.58,,
10225,294602.98,5331333.14,-319.61,2.31,90.00,15.84,,
10226,294628.76,5331246.41,-320.48,270.06,44.32,23.46,No_Litho,
10227,294477.15,5331015.05,-166.62,358.13,73.17,169.46,No_Litho,
10228,294477.15,5331014.94,-169.09,2.31,-79.52,183.18,No_Litho,
10229,294477.13,5331014.48,-166.62,182.31,79.52,169.77,No_Litho,
1023,294649.13,5331221.51,22.77,285.66,77.08,14.63,,
10230,294477.16,5331014.27,-169.07,179.78,-72.65,207.56,No_Litho,
10231,294516.30,5331013.24,-166.56,361.28,75.38,152.40,No_Litho,
10232,294516.31,5331013.27,-169.43,359.88,-73.10,154.83,No_Litho,
10233,294516.31,5331012.41,-166.61,179.88,73.10,152.09,No_Litho,
10234,294516.29,5331012.48,-169.49,180.34,-75.38,182.57,No_Litho,
10235,294559.15,5331009.92,-166.92,2.31,70.00,154.83,,
10-2355-1,293855.60,5331112.87,269.31,3.36,0.31,24.68,No_Litho,
10-2355-1A,293855.55,5331107.69,269.24,185.53,0.48,45.72,No_Litho,
10-2355-2,293856.33,5331107.74,268.48,183.22,-45.14,46.08,No_Litho,
10-2355-3,293856.10,5331112.74,268.73,3.78,-44.07,21.33,No_Litho,
10236,294559.03,5331009.63,-169.92,2.31,-77.00,153.31,,
10237,294559.02,5331009.10,-167.93,183.23,79.20,182.57,,
10238,294558.99,5331008.96,-169.81,186.33,-70.42,240.79,,
1024,294665.62,5331220.18,22.83,182.31,82.77,14.93,,
10240,294630.22,5331221.17,-597.42,182.56,-78.50,53.03,No_Litho,
10241,294517.93,5331977.38,316.78,182.31,-90.00,293.21,,
10-2415-1,293872.32,5331106.45,269.59,182.29,0.17,36.57,No_Litho,
10-2415-2,293874.18,5331111.77,269.35,361.65,-0.38,27.12,No_Litho,
10-2415-3,293873.01,5331108.99,268.19,287.71,-90.00,42.67,No_Litho,
10242,294435.63,5331918.48,307.03,190.31,-90.00,149.65,,
10243,294305.04,5331932.92,316.78,190.31,-70.00,156.36,,
10244,294548.69,5331441.73,-551.36,358.44,-69.10,151.79,,
10245,294548.72,5331440.74,-548.76,178.44,69.10,38.70,,
10246,294548.69,5331440.82,-551.36,181.73,68.62,152.09,,
10247,294591.46,5331445.94,-551.44,358.99,-78.83,105.76,,
10-2475-1,293890.96,5331102.16,268.86,180.37,-0.29,45.72,No_Litho,
10-2475-2,293891.03,5331103.22,267.72,240.11,-90.00,30.48,No_Litho,
10-2475-3,293890.87,5331102.42,268.11,182.31,-45.00,9.14,No_Litho,
10-2475-4,293892.80,5331108.76,268.80,359.93,2.43,33.52,No_Litho,
10-2475-5,293892.75,5331107.58,267.69,173.71,-90.00,30.48,No_Litho,
10-2475-6,293892.77,5331108.40,267.96,362.05,-40.92,9.14,No_Litho,
10248,294591.48,5331446.18,-549.26,360.53,70.12,39.01,,
10249,294591.41,5331444.85,-549.38,182.74,53.16,76.20,,
10-2490-1,293900.89,5331129.57,252.78,48.60,0.00,11.27,No_Litho,
10-2490-2,293897.70,5331129.99,252.75,353.35,0.00,11.27,No_Litho,
10-2490-3,293895.48,5331129.29,252.74,317.38,0.00,24.38,No_Litho,
1025,294665.06,5331222.29,22.84,355.71,58.73,14.93,,
10250,294591.41,5331445.24,-551.55,189.63,-63.68,106.37,,
10251,294624.66,5331446.23,-549.17,7.68,70.75,43.58,No_Litho,
10252,294624.62,5331446.07,-551.34,355.18,-71.62,91.44,No_Litho,
10-2520-1,293903.65,5331059.56,247.97,362.31,-45.00,92.35,No_Litho,
10-2520-2,293903.62,5331058.87,247.88,362.31,-70.00,155.75,No_Litho,
10253,294624.62,5331445.42,-549.22,182.64,72.25,45.72,No_Litho,
10-2535-1,293910.68,5331112.12,268.77,180.33,1.26,39.62,No_Litho,
10-2535-2,293910.70,5331112.40,268.03,179.59,-32.32,60.96,No_Litho,
10-2535-3,293911.14,5331117.69,268.79,2.83,0.62,54.86,No_Litho,
10-2535-4,293911.10,5331116.93,267.69,359.56,-58.36,39.62,No_Litho,
10254,294624.59,5331445.49,-551.52,184.46,-72.40,91.74,No_Litho,
10255,294720.86,5331211.08,-168.88,2.31,82.00,53.94,,
10256,294719.62,5331210.00,-169.26,273.31,42.00,38.10,,
10257,294721.92,5331210.15,-169.17,88.03,43.88,44.80,,
10258,294538.40,5331190.76,-549.82,181.76,60.90,53.34,,
10-2580-1,293922.52,5331079.03,250.97,7.81,-29.90,45.72,No_Litho,
10-2580-2,293922.33,5331079.07,251.23,3.21,-19.60,47.97,No_Litho,
10-2580-3,293922.33,5331079.01,250.96,2.96,-49.40,31.08,No_Litho,
10-2580-4,293922.33,5331078.73,250.45,358.60,-58.97,86.86,No_Litho,
10-2580-5,293922.39,5331078.56,250.25,182.41,-70.00,91.44,No_Litho,
10259,294911.81,5331231.12,-1104.00,2.31,0.00,24.68,No_Litho,
10-2595-1,293929.04,5331116.62,267.01,182.31,-75.00,3.04,No_Litho,
10-2595-2,293928.90,5331115.64,267.07,187.26,-41.30,64.00,No_Litho,
10-2595-3,293928.52,5331116.92,267.07,169.31,-50.70,42.67,No_Litho,
10-2595-3A,293928.49,5331118.39,267.07,361.96,-48.10,34.13,No_Litho,
10-2595-4,293928.40,5331117.36,267.04,182.31,-80.00,45.72,No_Litho,
10-2595-4A,293928.42,5331117.58,267.05,11.68,-87.00,67.05,No_Litho,
10-2595-5,293929.08,5331113.78,268.13,182.83,-0.90,45.72,No_Litho,
1026,294657.30,5331220.27,23.04,181.06,79.37,15.24,,
10260,294913.00,5331227.21,-1103.65,182.31,28.00,22.55,No_Litho,
10261,294930.36,5331231.30,-1103.69,2.99,2.53,22.86,,
10262,294931.02,5331227.06,-1103.19,176.69,28.48,22.86,,
10263,294962.80,5331226.78,-1103.01,156.34,26.10,22.86,No_Litho,
10264,294960.37,5331231.13,-1103.17,337.89,3.07,22.55,No_Litho,
10-2640-1,293941.33,5331113.55,267.19,240.31,-35.00,18.28,No_Litho,
10-2640-2,293942.46,5331114.19,267.10,362.31,-90.00,9.66,No_Litho,
10265,294969.44,5331231.98,-1103.19,352.11,2.80,15.24,,
10266,294970.97,5331228.92,-1102.69,196.84,28.03,22.55,,
10267,294720.32,5331209.72,-169.02,182.31,45.78,23.46,,
10-2670-1,293952.30,5331131.86,266.91,211.31,-52.00,91.44,No_Litho,
10-2670-2,293952.06,5331131.15,266.91,204.31,-32.00,45.72,No_Litho,
10-2670-3,293952.49,5331131.92,266.91,194.31,-58.00,91.44,No_Litho,
10-2670-4,293952.64,5331132.16,266.90,178.31,-71.00,91.44,No_Litho,
10-2670-5,293952.73,5331131.03,266.91,176.31,-32.00,45.72,No_Litho,
10-2670-6,293952.73,5331132.31,266.83,151.62,-79.00,106.68,No_Litho,
10-2670-7,293952.72,5331132.09,266.90,166.31,-67.00,62.48,No_Litho,
10-2670-8,293951.96,5331122.65,267.05,362.31,-90.00,5.69,No_Litho,
10268,294496.21,5331189.54,-549.62,183.08,74.22,90.83,No_Litho,
10-2685-1,293956.62,5331124.91,266.79,362.31,-90.00,15.24,No_Litho,
10269,294804.43,5331010.69,-132.73,2.31,-80.00,59.13,No_Litho,
1027,294614.05,5331222.65,23.28,192.06,68.70,19.20,,
10270,294804.38,5331010.41,-132.69,182.31,-80.00,121.00,No_Litho,
10-2700-3,293961.38,5331129.29,266.79,362.31,-90.00,14.32,No_Litho,
10271,294849.04,5331006.08,-132.41,13.04,-83.40,73.15,No_Litho,
10-2715-1,293966.02,5331130.93,266.79,362.31,-90.00,9.32,No_Litho,
10272,294849.03,5331005.85,-132.32,182.31,-80.00,121.00,No_Litho,
10273,293922.62,5331083.79,-128.40,182.31,-55.00,50.90,No_Litho,
10274,294543.82,5331097.54,-1300.62,2.31,0.00,21.64,,
10275,294543.32,5331095.76,-1300.24,182.31,0.00,14.63,,
10276,294542.41,5331097.69,-1298.31,2.31,47.00,27.43,,
10-2760-1,293978.84,5331119.49,270.29,346.66,60.00,21.67,No_Litho,
10-2760-2,293979.23,5331118.07,269.92,157.68,90.00,27.43,No_Litho,
10-2760-3,293979.35,5331117.69,269.87,184.13,50.00,38.10,No_Litho,
10-2760-4,293977.28,5331117.52,265.61,181.35,-50.00,94.48,No_Litho,
10-2760-5,293977.19,5331119.66,265.86,2.31,-90.00,182.88,No_Litho,
10-2760-6,293977.12,5331121.52,266.11,6.56,-75.00,76.20,No_Litho,
10277,294518.45,5331207.10,-549.81,184.23,46.02,30.48,,
10278,294518.46,5331207.00,-551.84,184.04,-40.02,44.80,,
10279,294718.37,5330963.91,-90.44,186.26,62.80,52.12,,
1028,294627.03,5331221.69,23.16,191.31,74.25,20.51,,
10280,294741.99,5331461.90,-870.87,17.47,-2.57,1179.27,,
10280A,294867.26,5331967.09,-798.80,182.31,14.00,975.96,No_Litho,
10281,294738.92,5331022.36,-82.53,2.31,90.00,7.62,,
10282,294734.49,5331022.97,-85.70,2.31,-90.00,7.31,No_Assay,
10283,294741.17,5331007.69,-82.19,2.31,90.00,7.62,No_Assay,
10284,294915.04,5331157.67,-837.64,2.31,0.00,7.62,No_Litho,
10285,294926.23,5331159.04,-837.82,2.31,0.00,7.62,,
10286,294934.32,5331162.83,-837.18,2.31,0.00,7.62,No_Litho,
10287,294591.45,5331445.02,-551.44,181.26,-45.00,91.13,,
10288,294548.74,5331441.80,-548.88,2.31,68.97,53.03,,
10289,294548.72,5331440.40,-549.27,180.19,47.27,60.96,,
10-2895-1,294020.80,5331133.74,265.98,362.31,-75.00,48.76,No_Litho,
10-2895-2,294021.04,5331133.59,265.98,362.31,-86.00,67.05,No_Litho,
1029,294641.39,5331219.98,23.06,177.63,78.53,19.20,,
10290,294618.90,5331118.76,-169.27,185.88,37.95,28.04,No_Litho,
10291,294651.33,5331115.29,-169.11,182.31,56.00,19.20,,
10292,294651.28,5331115.08,-169.63,185.38,29.22,30.48,,
10293,294534.22,5331138.17,20.30,181.99,-69.70,121.92,,
